"id","province","district","village"
3,NA,NA,"aaa"
355,"Vientiane [prefecture]",NA,"pakkayoung"
615,"Vientiane",NA,"nahone"
650,"Vientiane",NA,"vang"
733,"Vientiane",NA,"napamai"
773,"Vientiane [prefecture]",NA,"nonehai"
806,"Vientiane",NA,"namthern"
818,"Vientiane",NA,"nonehai"
827,NA,NA,"14 km"
906,NA,NA,"saphathongkang"
1137,"Vientiane [prefecture]",NA,"thuay"
1186,"Vientiane",NA,"nonehai"
1217,"Vientiane",NA,"nayao"
1224,"Vientiane",NA,"nonghai"
1239,"Vientiane",NA,"nonehai"
1438,"Vientiane",NA,"phoseng"
1478,"Vientiane",NA,"52 km"
1506,"Vientiane",NA,"phonengarm"
1605,"Louangphrabang",NA,"houana"
1688,"Oudômxai",NA,"phonsivilay"
1725,"Xiangkhoang",NA,"phonesavan"
1791,"Xiangkhoang",NA,"phonesavan"
1857,"Champasak",NA,"5 km"
1907,"Xiangkhoang",NA,"nong on"
2770,"Vientiane [prefecture]",NA,"indian ambassy"
2847,"Xiangkhoang",NA,"khoy"
2993,"Xiangkhoang",NA,"phonthong"
3706,"Louang Namtha",NA,"namcharng"
3708,"Louang Namtha",NA,"xaysomboun"
3709,"Louang Namtha",NA,"houaydam"
3710,"Louang Namtha",NA,"chalernsouk"
3711,"Louang Namtha",NA,"viengthong"
3712,"Louangphrabang",NA,"phunlouang"
